               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  99,              1.4989,             0.81006,               1.314,              0.8807,              0.6606,             0.80608,             0.48044,                   0,                   0,                   0,            0.006766,            0.006766,            0.006766
                 100,              1.5001,             0.81127,              1.3137,             0.88101,             0.66088,             0.82881,             0.48942,                   0,                   0,                   0,            0.006733,            0.006733,            0.006733
                 101,              1.4989,             0.80938,              1.3136,             0.88375,             0.65943,              0.8298,             0.48955,                   0,                   0,                   0,              0.0067,              0.0067,              0.0067
                 102,              1.4951,             0.80607,              1.3117,             0.87993,             0.66913,             0.83077,             0.49085,                   0,                   0,                   0,            0.006667,            0.006667,            0.006667
                 103,              1.4896,              0.8033,              1.3095,             0.73208,             0.82365,             0.83145,             0.49308,                   0,                   0,                   0,            0.006634,            0.006634,            0.006634
                 104,               1.484,             0.79977,              1.3048,             0.73794,             0.82135,             0.83136,             0.49405,                   0,                   0,                   0,            0.006601,            0.006601,            0.006601
                 105,               1.489,             0.79972,              1.3055,             0.73272,             0.82097,              0.8328,             0.49498,                   0,                   0,                   0,            0.006568,            0.006568,            0.006568
                 106,              1.4838,             0.79974,              1.3043,             0.72866,             0.82148,             0.83277,             0.49808,                   0,                   0,                   0,            0.006535,            0.006535,            0.006535
                 107,              1.4824,             0.80004,              1.3036,              0.7295,             0.82209,             0.83338,              0.5079,                   0,                   0,                   0,            0.006502,            0.006502,            0.006502
                 108,              1.4768,             0.79277,              1.3018,             0.73573,             0.82268,             0.83387,             0.50841,                   0,                   0,                   0,            0.006469,            0.006469,            0.006469
                 109,              1.4781,              0.7933,              1.3025,             0.73206,             0.82337,             0.83501,             0.50907,                   0,                   0,                   0,            0.006436,            0.006436,            0.006436
                 110,               1.477,             0.79455,              1.3034,              0.7318,             0.82379,              0.8359,             0.51041,                   0,                   0,                   0,            0.006403,            0.006403,            0.006403
                 111,              1.4772,             0.79332,              1.3002,             0.73118,             0.82402,             0.83659,             0.51109,                   0,                   0,                   0,             0.00637,             0.00637,             0.00637
                 112,              1.4722,             0.79187,              1.2984,             0.73092,             0.82429,             0.83764,              0.5118,                   0,                   0,                   0,            0.006337,            0.006337,            0.006337
                 113,              1.4744,             0.79355,              1.3031,             0.74012,             0.82347,             0.83734,              0.5131,                   0,                   0,                   0,            0.006304,            0.006304,            0.006304
                 114,              1.4696,             0.78932,              1.2978,             0.75124,             0.82216,              0.8376,             0.51341,                   0,                   0,                   0,            0.006271,            0.006271,            0.006271
                 115,              1.4678,             0.78725,              1.2939,             0.76834,             0.82046,             0.83764,             0.51488,                   0,                   0,                   0,            0.006238,            0.006238,            0.006238
                 116,              1.4668,             0.78605,              1.2976,             0.78352,             0.81301,             0.83843,             0.51613,                   0,                   0,                   0,            0.006205,            0.006205,            0.006205
                 117,              1.4604,             0.78476,              1.2924,             0.78543,             0.81005,             0.83869,             0.51661,                   0,                   0,                   0,            0.006172,            0.006172,            0.006172
                 118,              1.4619,             0.78206,              1.2942,               0.784,             0.81195,             0.83907,             0.51699,                   0,                   0,                   0,            0.006139,            0.006139,            0.006139
                 119,              1.4607,              0.7842,              1.2966,             0.78725,             0.80872,             0.83993,             0.51805,                   0,                   0,                   0,            0.006106,            0.006106,            0.006106
                 120,              1.4577,             0.77739,              1.2927,             0.79372,             0.80577,             0.84021,             0.51878,                   0,                   0,                   0,            0.006073,            0.006073,            0.006073
                 121,              1.4506,             0.77634,              1.2898,             0.79659,             0.80445,             0.84033,             0.51886,                   0,                   0,                   0,             0.00604,             0.00604,             0.00604
                 122,              1.4518,             0.77388,              1.2889,             0.80394,             0.79777,             0.84096,              0.5192,                   0,                   0,                   0,            0.006007,            0.006007,            0.006007
                 123,              1.4537,             0.77739,              1.2905,             0.81001,             0.79682,             0.84161,             0.51989,                   0,                   0,                   0,            0.005974,            0.005974,            0.005974
                 124,              1.4488,              0.7748,              1.2898,             0.81915,             0.79128,             0.84217,             0.52138,                   0,                   0,                   0,            0.005941,            0.005941,            0.005941
                 125,              1.4495,             0.77279,              1.2904,             0.82778,             0.78605,             0.84252,             0.52145,                   0,                   0,                   0,            0.005908,            0.005908,            0.005908
                 126,              1.4443,             0.77051,              1.2861,             0.83188,             0.78702,             0.84239,             0.52238,                   0,                   0,                   0,            0.005875,            0.005875,            0.005875
                 127,              1.4419,             0.77052,              1.2855,             0.82758,             0.75276,             0.82027,             0.51555,                   0,                   0,                   0,            0.005842,            0.005842,            0.005842
                 128,              1.4437,             0.76891,              1.2878,             0.83428,             0.75061,             0.82079,             0.51631,                   0,                   0,                   0,            0.005809,            0.005809,            0.005809
                 129,              1.4403,              0.7693,              1.2861,             0.84733,             0.74741,             0.82114,             0.51599,                   0,                   0,                   0,            0.005776,            0.005776,            0.005776
                 130,              1.4373,             0.76555,              1.2869,             0.85441,             0.74117,             0.82088,             0.51587,                   0,                   0,                   0,            0.005743,            0.005743,            0.005743
                 131,              1.4338,             0.76361,              1.2825,              0.8598,             0.73766,             0.82162,             0.51658,                   0,                   0,                   0,             0.00571,             0.00571,             0.00571
